114	тут	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:48.038#00:06:48.323
115	случилась	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:48.323#00:06:48.608
116	перестройка	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:48.608#00:06:48.893
117	и	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:48.893#00:06:49.178
118	надо	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:49.178#00:06:49.463
119	было	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:49.463#00:06:49.748
120	чё-то	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:49.748#00:06:50.033
121	делать	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:50.033#00:06:50.318
122	/	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:50.318#00:06:50.603
123	тогда	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:50.603#00:06:50.888
124	он	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:50.888#00:06:51.173
125	приехал	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:51.173#00:06:51.458
126	в	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:51.458#00:06:51.743
127	/	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:51.743#00:06:52.028
128	Москву	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:52.028#00:06:52.313
129	впервые	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:52.313#00:06:52.598
130	/	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:52.598#00:06:52.883
131	кстати	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:52.883#00:06:53.168
132	он	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:53.168#00:06:53.453
133	приехал	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:53.453#00:06:53.738
134	по	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:53.738#00:06:54.023
135	приглашению	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:54.023#00:06:54.308
136	Юлиана	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:54.308#00:06:54.593
137	Семенова	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:54.593#00:06:54.878
138	/	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:54.878#00:06:55.163
139	кто	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:55.163#00:06:55.448
140	такой	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:55.448#00:06:55.733
141	Юлиан	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:55.733#00:06:56.018
142	Семенов	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:56.018#00:06:56.303
143	знаете?	_	_	_	_	_	_	_	@pn1988m-words2#@pn1988m#00:06:56.303#00:06:56.620
144	Дадада	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:56.655#00:06:57.094
145	/	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:57.094#00:06:57.533
146	[нрзб]	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:57.533#00:06:57.972
147	весны	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:57.972#00:06:58.411
148	это	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:58.411#00:06:58.850
149	журналист	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:58.850#00:06:59.289
150	который	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:59.289#00:06:59.728
151	владел	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:06:59.728#00:07:00.167
152	холдингом	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:00.167#00:07:00.606
153	Совершенно	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:00.606#00:07:01.045
154	секретно	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:01.045#00:07:01.484
155	/	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:01.484#00:07:01.923
156	у	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:01.923#00:07:02.362
157	него	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:02.362#00:07:02.801
158	было	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:02.801#00:07:03.240
159	безумное	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:03.240#00:07:03.679
160	колличество	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:03.679#00:07:04.118
161	денег	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:04.118#00:07:04.557
162	на	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:04.557#00:07:04.996
163	тот	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:04.996#00:07:05.435
164	момент	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:05.435#00:07:05.874
165	/	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:05.874#00:07:06.313
166	на	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:06.313#00:07:06.752
167	момент	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:06.752#00:07:07.191
168	Перестройки	_	_	_	_	_	_	_	@pn1988m-words3#@pn1988m#00:07:07.191#00:07:07.630
